run_name,config,features,seed,fold,split,n_train,n_eval,prevalence,roc_auc,pr_auc,log_loss,brier,epochs_ran,seconds,commit,notes
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,0,cv_dev,6327,1582,0.121997,0.973974,0.814816,0.135447,0.040264,35.0,11.12,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,1,cv_dev,6328,1581,0.1284,0.974876,0.819486,0.145211,0.042078,29.0,9.2,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,2,cv_dev,6327,1582,0.127686,0.974405,0.786257,0.144957,0.043616,33.0,10.4,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,3,cv_dev,6327,1582,0.140329,0.969826,0.777812,0.153783,0.047623,30.0,9.54,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,4,cv_dev,6327,1582,0.127686,0.973978,0.826173,0.149096,0.044221,45.0,14.14,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,0,cv_dev,6327,1582,0.121997,0.977693,0.818039,0.123161,0.037957,31.0,9.78,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,1,cv_dev,6328,1581,0.1284,0.974551,0.827248,0.139101,0.039677,26.0,8.17,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,2,cv_dev,6327,1582,0.127686,0.972119,0.782024,0.144639,0.043317,41.0,13.09,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,3,cv_dev,6327,1582,0.140329,0.971585,0.786134,0.153307,0.047957,26.0,8.13,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,4,cv_dev,6327,1582,0.127686,0.977174,0.830572,0.135943,0.041581,43.0,13.43,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,0,cv_dev,6327,1582,0.121997,0.973922,0.817532,0.133368,0.03951,40.0,12.77,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,1,cv_dev,6328,1581,0.1284,0.976292,0.820875,0.138091,0.040977,43.0,13.63,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,2,cv_dev,6327,1582,0.127686,0.972055,0.782144,0.141711,0.042075,25.0,8.02,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,3,cv_dev,6327,1582,0.140329,0.970737,0.784957,0.157432,0.04697,50.0,16.03,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,4,cv_dev,6327,1582,0.127686,0.976288,0.816519,0.132738,0.041193,36.0,11.35,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,0,cv_dev,6327,1582,0.121997,0.978633,0.814782,0.123803,0.039509,23.0,7.2,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,1,cv_dev,6328,1581,0.1284,0.975638,0.830165,0.144537,0.042243,27.0,8.53,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,2,cv_dev,6327,1582,0.127686,0.971847,0.780138,0.14637,0.04501,29.0,9.25,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,3,cv_dev,6327,1582,0.140329,0.967114,0.7814,0.173477,0.05359,31.0,9.68,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,4,cv_dev,6327,1582,0.127686,0.976499,0.811978,0.140652,0.043307,28.0,8.82,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,0,cv_dev,6327,1582,0.121997,0.976652,0.827019,0.12772,0.038612,29.0,9.02,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,1,cv_dev,6328,1581,0.1284,0.975809,0.8226,0.149429,0.041108,33.0,10.25,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,2,cv_dev,6327,1582,0.127686,0.970663,0.765274,0.162441,0.046286,34.0,10.8,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,3,cv_dev,6327,1582,0.140329,0.965753,0.765755,0.166748,0.050732,26.0,8.11,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,4,cv_dev,6327,1582,0.127686,0.975821,0.811301,0.134459,0.042511,28.0,8.69,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,0,cv_dev,6327,1582,0.121997,0.970542,0.801815,0.147916,0.040555,50.0,15.77,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,1,cv_dev,6328,1581,0.1284,0.974962,0.825031,0.132172,0.039634,27.0,8.49,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,2,cv_dev,6327,1582,0.127686,0.969522,0.743633,0.148259,0.045372,29.0,9.12,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,3,cv_dev,6327,1582,0.140329,0.965769,0.767488,0.179207,0.052395,33.0,10.45,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,4,cv_dev,6327,1582,0.127686,0.976604,0.810125,0.143627,0.041857,32.0,9.99,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,0,cv_dev,6327,1582,0.121997,0.977458,0.810319,0.132145,0.038154,30.0,7.84,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,1,cv_dev,6328,1581,0.1284,0.975026,0.81143,0.139427,0.041532,33.0,8.66,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,2,cv_dev,6327,1582,0.127686,0.969971,0.762205,0.158181,0.045622,32.0,6.64,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,3,cv_dev,6327,1582,0.140329,0.968508,0.773241,0.162506,0.049924,25.0,4.96,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,4,cv_dev,6327,1582,0.127686,0.976704,0.825906,0.140612,0.042161,33.0,7.03,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,0,cv_dev,6327,1582,0.121997,0.978092,0.830012,0.128688,0.038648,27.0,5.62,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,1,cv_dev,6328,1581,0.1284,0.975134,0.826303,0.153035,0.041098,35.0,7.52,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,2,cv_dev,6327,1582,0.127686,0.970067,0.767513,0.160575,0.04415,30.0,6.44,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,3,cv_dev,6327,1582,0.140329,0.964842,0.767784,0.172934,0.053107,20.0,4.2,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
ancho_96,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,4,cv_dev,6327,1582,0.127686,0.976331,0.814703,0.141023,0.042868,27.0,5.75,7a5d721-dirty,d_model 96 (el maximo que permite el enunciado) con 6 cabezas y d_ff 384. Mantiene d_head 16 y ratio 4: es la version coherente del 'escalar la capacidad' que la grilla anterior hacia con el FFN fijo.
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,0,cv_dev,6327,1582,0.121997,0.978245,0.818437,0.123252,0.038429,24.0,5.81,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,1,cv_dev,6328,1581,0.1284,0.973947,0.820651,0.138976,0.039943,27.0,5.28,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,2,cv_dev,6327,1582,0.127686,0.971865,0.772892,0.144488,0.043474,34.0,7.35,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,3,cv_dev,6327,1582,0.140329,0.966061,0.797784,0.162302,0.051377,19.0,3.79,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,4,cv_dev,6327,1582,0.127686,0.976381,0.82799,0.136245,0.042269,28.0,5.66,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,0,cv_dev,6327,1582,0.121997,0.977339,0.827835,0.130027,0.039392,27.0,5.71,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,1,cv_dev,6328,1581,0.1284,0.974966,0.825449,0.135866,0.041081,37.0,7.45,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,2,cv_dev,6327,1582,0.127686,0.970297,0.763004,0.154156,0.045922,29.0,6.13,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,3,cv_dev,6327,1582,0.140329,0.966988,0.770424,0.160754,0.052543,19.0,3.83,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,4,cv_dev,6327,1582,0.127686,0.978211,0.838515,0.13362,0.042164,29.0,5.8,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,0,cv_dev,6327,1582,0.121997,0.975854,0.825827,0.134163,0.039071,43.0,8.26,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,1,cv_dev,6328,1581,0.1284,0.976989,0.827802,0.136708,0.040486,26.0,5.52,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,2,cv_dev,6327,1582,0.127686,0.972191,0.775441,0.139903,0.042425,28.0,5.58,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,3,cv_dev,6327,1582,0.140329,0.970625,0.780173,0.155766,0.04851,22.0,4.24,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",44,4,cv_dev,6327,1582,0.127686,0.977167,0.814665,0.139131,0.041551,32.0,6.19,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,0,cv_dev,6327,1582,0.121997,0.970729,0.799089,0.144447,0.041991,32.0,6.39,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,1,cv_dev,6328,1581,0.1284,0.975927,0.812969,0.135633,0.041086,33.0,6.74,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,2,cv_dev,6327,1582,0.127686,0.972607,0.784432,0.148441,0.044318,31.0,6.67,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,3,cv_dev,6327,1582,0.140329,0.965554,0.772656,0.163179,0.052508,19.0,3.82,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",45,4,cv_dev,6327,1582,0.127686,0.976234,0.820945,0.131917,0.040935,26.0,5.12,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,0,cv_dev,6327,1582,0.121997,0.978036,0.822226,0.129147,0.039121,40.0,7.94,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,1,cv_dev,6328,1581,0.1284,0.974504,0.832593,0.135949,0.039742,32.0,6.69,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,2,cv_dev,6327,1582,0.127686,0.972001,0.770491,0.144024,0.04468,34.0,8.89,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,3,cv_dev,6327,1582,0.140329,0.964822,0.777918,0.172833,0.051844,26.0,5.48,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
base,ablacion,"texto[both, con marcador] + tabular[7 cat]",46,4,cv_dev,6327,1582,0.127686,0.975441,0.817846,0.141372,0.041898,29.0,5.9,7a5d721-dirty,"Configuracion de referencia: texto + tabular, marcador de reputacion, 2 capas, d_model 64, 4 cabezas, pre-LN y pooling [CLS]."
cabezas_1,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,0,cv_dev,6327,1582,0.121997,0.978812,0.822075,0.119894,0.037401,24.0,4.65,7a5d721-dirty,"Una sola cabeza, d_head 64: exactamente la dimension por cabeza que usa el paper. Sin multi-cabeza el modelo atiende en un unico subespacio, que es la pregunta que la fila responde."
cabezas_1,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,1,cv_dev,6328,1581,0.1284,0.976438,0.827144,0.128622,0.039937,35.0,7.21,7a5d721-dirty,"Una sola cabeza, d_head 64: exactamente la dimension por cabeza que usa el paper. Sin multi-cabeza el modelo atiende en un unico subespacio, que es la pregunta que la fila responde."
cabezas_1,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,2,cv_dev,6327,1582,0.127686,0.971058,0.770332,0.146593,0.044083,39.0,7.86,7a5d721-dirty,"Una sola cabeza, d_head 64: exactamente la dimension por cabeza que usa el paper. Sin multi-cabeza el modelo atiende en un unico subespacio, que es la pregunta que la fila responde."
cabezas_1,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,3,cv_dev,6327,1582,0.140329,0.963421,0.791623,0.17144,0.053438,19.0,3.74,7a5d721-dirty,"Una sola cabeza, d_head 64: exactamente la dimension por cabeza que usa el paper. Sin multi-cabeza el modelo atiende en un unico subespacio, que es la pregunta que la fila responde."
cabezas_1,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,4,cv_dev,6327,1582,0.127686,0.975567,0.827497,0.143965,0.044355,32.0,6.12,7a5d721-dirty,"Una sola cabeza, d_head 64: exactamente la dimension por cabeza que usa el paper. Sin multi-cabeza el modelo atiende en un unico subespacio, que es la pregunta que la fila responde."
cabezas_1,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,0,cv_dev,6327,1582,0.121997,0.973217,0.828454,0.134081,0.037923,36.0,7.13,7a5d721-dirty,"Una sola cabeza, d_head 64: exactamente la dimension por cabeza que usa el paper. Sin multi-cabeza el modelo atiende en un unico subespacio, que es la pregunta que la fila responde."
cabezas_1,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,1,cv_dev,6328,1581,0.1284,0.976092,0.840211,0.138079,0.039145,30.0,6.25,7a5d721-dirty,"Una sola cabeza, d_head 64: exactamente la dimension por cabeza que usa el paper. Sin multi-cabeza el modelo atiende en un unico subespacio, que es la pregunta que la fila responde."
